"year","price_in_euro","power_ps","transmission_type","fuel_type","fuel_consumption_l_100km","mileage_in_km","color_blue","color_silver","color_red","color_grey","color_black","color_white"
2016,12999,150,0,0,4.9,180000,1,0,0,0,0,0
2016,13290,150,0,0,4.9,146000,1,0,0,0,0,0
2016,12999,150,0,0,4.9,180000,1,0,0,0,0,0
2016,18750,211,0,0,5.2,127630,0,0,0,1,0,0
2016,16900,241,0,1,7.3,94077,0,0,0,1,0,0
2016,15900,160,1,1,5.8,8500,0,0,0,1,0,0
2016,15890,179,1,0,4.8,141000,0,0,0,1,0,0
2016,15999,179,0,0,4.9,143344,0,0,0,1,0,0
2016,15590,211,0,0,5.2,176000,0,0,0,1,0,0
2016,11650,150,1,0,4.3,175000,0,0,0,1,0,0
2016,19950,203,0,1,7.6,83500,0,0,0,1,0,0
2016,15970,211,0,0,5,181000,0,0,0,1,0,0
2016,19945,179,1,0,4.9,61900,0,0,0,1,0,0
2016,14990,150,1,0,4.5,142285,0,0,0,1,0,0
2016,9300,179,0,0,5.3,86644,0,0,0,1,0,0
2016,14800,150,1,0,4.7,118005,0,0,0,1,0,0
2016,13969,179,0,0,4.8,158000,0,0,0,1,0,0
2016,14000,179,1,0,4.8,120000,0,0,0,1,0,0
2016,14600,179,1,0,4.5,120444,0,0,0,1,0,0
2016,13900,211,0,0,5.2,215000,0,0,0,1,0,0
2016,17113,160,1,1,5.9,58000,0,0,0,1,0,0
2016,13600,179,0,0,5.6,187875,0,0,0,1,0,0
2016,14950,120,1,0,3.6,105250,0,0,0,1,0,0
2016,17000,179,0,0,5.1,168000,0,0,0,1,0,0
2016,13990,150,0,0,4.9,151000,0,0,0,1,0,0
2016,17800,160,0,1,6.5,65200,0,0,0,1,0,0
2016,10690,179,0,0,4.9,189680,0,0,0,1,0,0
